DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
161410355,2016-03-29,2016-03-29,1855,14,Pacific,1473,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,39.0,F,B,203.0,OTHER BUSINESS,,,IC,Invest Cont,440.0,,,,8300    LINCOLN                      BL,,"(33.9619, -118.4327)"
100212320,2010-05-31,2010-05-31,2215,2,Rampart,256,624,BATTERY - SIMPLE ASSAULT,0416 0429 0432,,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,CORONADO                     ST,6TH                          ST,"(34.062, -118.2804)"
141810048,2014-05-01,2014-05-01,1100,18,Southeast,1863,210,ROBBERY,0336 0305 0346 0400 1822,28.0,F,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,118TH                        ST,AVALON                       BL,"(33.9265, -118.2652)"
100415345,2010-09-18,2010-09-18,1030,4,Hollenbeck,443,624,BATTERY - SIMPLE ASSAULT,0416 0443,42.0,F,A,701.0,HOSPITAL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,1500    SAN PABLO                    ST,,"(34.0624, -118.2032)"
141306304,2014-02-11,2014-02-09,1400,13,Newton,1347,354,THEFT OF IDENTITY,0100 0800,24.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,1500 E  41ST                         PL,,"(34.0077, -118.2474)"
130218896,2013-09-12,2013-08-30,730,2,Rampart,237,954,CONTRIBUTING,1251 1259,16.0,F,O,503.0,HOTEL,,,AO,Adult Other,954.0,,,,1600 W  3RD                          ST,,"(34.0599, -118.2655)"
141009429,2014-05-09,2014-05-02,2000,10,West Valley,1018,330,BURGLARY FROM VEHICLE,1609 0344,43.0,F,H,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,7400    HASKELL                      AV,,"(34.2049, -118.4749)"
121506451,2012-02-13,2012-02-13,1710,15,N Hollywood,1545,510,VEHICLE - STOLEN,,11.0,,,108.0,PARKING LOT,,,AA,Adult Arrest,510.0,,,,4800    COLFAX                       AV,,"(34.1577, -118.3877)"
161920825,2016-10-27,2016-10-27,2100,19,Mission,1984,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0906 1206 0411 0342 0416,26.0,M,H,149.0,RIVER BED*,207.0,OTHER KNIFE,IC,Invest Cont,230.0,,,,PARTHENIA,KESTER,"(34.2282, -118.4575)"
120810392,2012-06-02,2012-06-02,1600,8,West LA,803,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1309 0919 1223 0605,40.0,M,O,101.0,STREET,307.0,VEHICLE,IC,Invest Cont,230.0,,,,SULLIVAN FIRE                RD,CASALE                       RD,"(34.0611, -118.5054)"
162007006,2016-03-01,2014-12-06,100,20,Olympic,2014,624,BATTERY - SIMPLE ASSAULT,0360 0444 0400,30.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,200 S  NORMANDIE                    AV,,"(34.0712, -118.3004)"
121907987,2012-03-09,2012-03-09,155,19,Mission,1916,624,BATTERY - SIMPLE ASSAULT,2000 0444,19.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,13900    AZTEC                        ST,,"(34.3039, -118.4358)"
161228075,2016-11-20,2016-11-20,1025,12,77th Street,1273,210,ROBBERY,0344,15.0,X,X,242.0,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",205.0,KITCHEN KNIFE,IC,Invest Cont,210.0,,,,9100 S  WESTERN                      AV,,"(33.9545, -118.309)"
151410118,2015-03-19,2015-03-19,1900,14,Pacific,1489,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,,54.0,F,B,501.0,SINGLE FAMILY DWELLING,511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,5400 W  ARBOR VITAE                  ST,,"(33.9527, -118.3753)"
110112525,2011-06-22,2011-06-21,2115,1,Central,133,330,BURGLARY FROM VEHICLE,0344,20.0,F,A,101.0,STREET,,,IC,Invest Cont,330.0,,,,LOS ANGELES                  ST,2ND                          ST,"(34.0503, -118.2433)"
100108595,2010-03-30,2010-03-18,1800,1,Central,122,946,OTHER MISCELLANEOUS CRIME,1501,,M,H,725.0,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,IC,Invest Cont,946.0,,,,500 W  TEMPLE                       ST,,"(34.0573, -118.2455)"
170504601,2017-01-13,2017-01-13,1847,5,Harbor,563,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0344 1236 2004,16.0,M,O,203.0,OTHER BUSINESS,,,AA,Adult Arrest,442.0,,,,1200 S  GAFFEY                       ST,,"(33.7334, -118.2924)"
131505017,2013-01-20,2013-01-20,1430,15,N Hollywood,1548,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,12.0,M,W,248.0,CELL PHONE STORE,,,IC,Invest Cont,440.0,,,,5300    LANKERSHIM                   BL,,"(34.167, -118.3759)"
111809221,2011-04-02,2011-04-01,2230,18,Southeast,1821,510,VEHICLE - STOLEN,,10.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,800 W  101ST                        ST,,"(33.9446, -118.2893)"
140606304,2014-02-12,2014-02-08,2330,6,Hollywood,645,440,THEFT PLAIN - PETTY ($950 & UNDER),1601 0344,35.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,440.0,,,,7000    HAWTHORN                     AV,,"(34.1004, -118.3414)"
121017898,2012-10-23,2012-10-19,1630,10,West Valley,1018,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344,,M,W,203.0,OTHER BUSINESS,,,IC,Invest Cont,341.0,,,,7700    GLORIA                       AV,,"(34.2103, -118.4793)"
101210140,2010-03-21,2010-03-20,1730,12,77th Street,1251,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0312 0319 0334 0603 1822,50.0,F,B,101.0,STREET,101.0,REVOLVER,IC,Invest Cont,930.0,,,,67TH                         ST,BRYNHURST                    AV,"(33.9781, -118.3338)"
130104354,2013-01-06,2013-01-06,1730,1,Central,152,624,BATTERY - SIMPLE ASSAULT,1240 1310 1814 0416 2000,38.0,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,6TH                          ST,FIGUEROA,"(34.0509, -118.2585)"
170412195,2017-07-03,2017-06-30,1500,4,Hollenbeck,407,354,THEFT OF IDENTITY,0100,65.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,3700    MCKENZIE                     AV,,"(34.0893, -118.1899)"
151918557,2015-09-21,2014-11-01,1200,19,Mission,1959,354,THEFT OF IDENTITY,0100 1822,46.0,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,10100    BARTEE                       AV,,"(34.2537, -118.4355)"
102010134,2010-03-31,2010-03-31,1735,20,Olympic,2031,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0319 0421 0432 0906 1210 1237 1816,38.0,M,O,210.0,RESTAURANT/FAST FOOD,113.0,SIMULATED GUN,AO,Adult Other,930.0,,,,3900    WILSHIRE                     BL,,"(34.0617, -118.3115)"
140804194,2014-01-06,2014-01-05,1930,8,West LA,889,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 1300,41.0,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,GUTHRIE,LA CIENEGA,"(34.0406, -118.378)"
170707907,2017-03-31,2017-03-31,2220,7,Wilshire,726,330,BURGLARY FROM VEHICLE,1609 0344,44.0,F,B,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330.0,,,,100 N  LA BREA                      AV,,"(34.0726, -118.3463)"
171415034,2017-06-24,2017-06-06,1700,14,Pacific,1475,354,THEFT OF IDENTITY,0377,43.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,7900    WESTLAWN                     AV,,"(33.9684, -118.4097)"
121421167,2012-08-22,2012-08-19,750,14,Pacific,1449,900,VIOLATION OF COURT ORDER,2000,26.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,900.0,,,,4800    MARIONWOOD                   DR,,"(33.9942, -118.4114)"
121204101,2012-01-03,2012-01-02,2235,12,77th Street,1235,251,SHOTS FIRED AT INHABITED DWELLING,1100 1202 1407 0302 0329 0906 1210,61.0,F,B,501.0,SINGLE FAMILY DWELLING,103.0,RIFLE,IC,Invest Cont,251.0,,,,1300 W  61ST                         ST,,"(33.9842, -118.298)"
150408454,2015-04-10,2015-04-10,1450,4,Hollenbeck,424,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 1307 0913,46.0,M,H,101.0,STREET,,,IC,Invest Cont,740.0,,,,LINCOLN PARK                 AV,BROADWAY,"(34.0738, -118.2026)"
151514572,2015-07-08,2015-07-06,2200,15,N Hollywood,1512,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,57.0,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745.0,,,,6700    ALCOVE                       AV,,"(34.1918, -118.4127)"
131018125,2013-11-25,2013-11-23,1500,10,West Valley,1025,510,VEHICLE - STOLEN,,12.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,6800    HESPERIA                     AV,,"(34.1939, -118.5262)"
150512949,2015-07-23,2015-07-22,1000,5,Harbor,581,664,"BUNCO, PETTY THEFT",0344 0701 0800 1202,78.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,664.0,,,,3400    MULLDAE                      AV,,"(33.722, -118.3197)"
101405393,2010-01-23,2010-01-23,745,14,Pacific,1409,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 0416 0432,34.0,M,W,101.0,STREET,200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230.0,,,,VENICE                       BL,BAGLEY                       AV,"(34.0254, -118.395)"
111416158,2011-05-30,2011-05-29,2030,14,Pacific,1472,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,33.0,M,H,101.0,STREET,,,IC,Invest Cont,745.0,,,,PACIFIC,CULVER,"(33.9577, -118.4497)"
131007451,2013-03-20,2013-03-19,1015,10,West Valley,1001,901,VIOLATION OF RESTRAINING ORDER,1501,64.0,F,W,501.0,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,901.0,,,,19100    LULL                         ST,,"(34.2093, -118.5492)"
162017510,2016-09-27,2016-09-23,1325,20,Olympic,2056,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,,X,X,720.0,JUNIOR HIGH SCHOOL,,,IC,Invest Cont,440.0,,,,1100 S  BERENDO                      ST,,"(34.0509, -118.2937)"
151107855,2015-03-20,2015-03-19,2030,11,Northeast,1151,237,CHILD NEGLECT (SEE 300 W.I.C.),1257,,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,237.0,,,,1600 N  KENMORE                      AV,,"(34.1, -118.2972)"
161917387,2016-08-28,2016-03-31,1400,19,Mission,1962,649,DOCUMENT FORGERY / STOLEN FELONY,0923 1822,32.0,F,B,507.0,CONDOMINIUM/TOWNHOUSE,,,AA,Adult Arrest,649.0,,,,9600    SEPULVEDA                    BL,,"(34.2446, -118.4675)"
150707650,2015-03-26,2015-03-21,2030,7,Wilshire,724,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,31.0,F,O,406.0,OTHER STORE,,,IC,Invest Cont,440.0,,,,100    THE GROVE                    DR,,"(34.0761, -118.3563)"
121107678,2012-03-14,2012-03-13,2200,11,Northeast,1145,330,BURGLARY FROM VEHICLE,0344 1307,36.0,M,W,101.0,STREET,,,AA,Adult Arrest,330.0,,,,2400    CORRALITAS                   DR,,"(34.0979, -118.2532)"
111505641,2011-02-01,2011-02-01,1445,15,N Hollywood,1517,330,BURGLARY FROM VEHICLE,0344 1307 1609,32.0,F,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,ELMER                        AV,KITTRIDGE                    ST,"(34.1903, -118.3768)"
171810473,2017-04-26,2017-04-26,1630,18,Southeast,1823,210,ROBBERY,0344 0334 0312 0355,22.0,F,H,102.0,SIDEWALK,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,210.0,,,,104TH                        ST,SAN PEDRO,"(33.9419, -118.2695)"
161214968,2016-05-28,2016-05-28,100,12,77th Street,1248,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 1300 1251,19.0,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,800 W  70TH                         ST,,"(33.9764, -118.2871)"
132120188,2013-12-27,2013-12-27,1000,21,Topanga,2136,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 1609,33.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,740.0,,,,7300    ETON                         AV,,"(34.2029, -118.5955)"
121320054,2012-09-30,2012-09-30,2030,13,Newton,1307,624,BATTERY - SIMPLE ASSAULT,0913 0416 1241 2000,30.0,M,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,8TH                          ST,STANFORD,"(34.0365, -118.2468)"
151816177,2015-08-25,2015-08-25,1740,18,Southeast,1846,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1300 1315 0344,60.0,F,H,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,420.0,,,,1500 E  111TH                        ST,,"(33.9348, -118.2479)"
121716937,2012-09-06,2012-09-06,1030,17,Devonshire,1701,330,BURGLARY FROM VEHICLE,1307 0344,30.0,F,O,101.0,STREET,,,IC,Invest Cont,330.0,,,,RINALDI,CORBIN,"(34.2748, -118.5621)"
150710710,2015-06-05,2015-05-26,2000,7,Wilshire,745,354,THEFT OF IDENTITY,0923 0930 1822,28.0,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,800 S  SYCAMORE                     AV,,"(34.0605, -118.3436)"
101324452,2010-11-04,2010-11-04,1345,13,Newton,1383,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0369 0421 0913 0917 1309,42.0,F,H,108.0,PARKING LOT,511.0,VERBAL THREAT,AO,Adult Other,930.0,,,,5900    WALL                         ST,,"(33.9873, -118.2718)"
140612775,2014-06-01,2014-06-01,125,6,Hollywood,657,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0416,37.0,M,H,735.0,NIGHT CLUB (OPEN EVENINGS ONLY),212.0,BOTTLE,AA,Adult Arrest,230.0,,,,5500    SANTA MONICA                 BL,,"(34.0908, -118.3092)"
120919979,2012-10-28,2012-10-28,1700,9,Van Nuys,911,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1213,37.0,M,W,108.0,PARKING LOT,216.0,SCISSORS,AA,Adult Arrest,230.0,,,,VICTORY                      BL,SEPULVEDA                    BL,"(34.1867, -118.4662)"
140304529,2014-01-10,2014-01-07,1800,3,Southwest,361,210,ROBBERY,0342 0906 0344 0305 0334 0355,18.0,M,H,101.0,STREET,207.0,OTHER KNIFE,IC,Invest Cont,210.0,,,,STEVELY                      ST,PINAFORE                     AV,"(34.015, -118.3536)"
110914751,2011-07-17,2011-07-17,945,9,Van Nuys,926,900,VIOLATION OF COURT ORDER,0906,,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,900.0,,,,6500    WOODMAN                      AV,,"(34.1886, -118.4312)"
130121812,2013-10-10,2013-10-10,1,1,Central,147,350,"THEFT, PERSON",0344 1218,56.0,F,W,102.0,SIDEWALK,,,IC,Invest Cont,350.0,,,,5TH                          ST,SAN JULIAN,"(34.0446, -118.245)"
